log_density_cgs,log_pressure_5pc_cgs,log_pressure_25pc_cgs,log_pressure_75pc_cgs,log_pressure_95pc_cgs
14.000000,32.561779,32.562330,32.563101,32.563390
14.015200,32.587335,32.587378,32.587511,32.587637
14.030300,32.611438,32.611899,32.613190,32.614130
14.045500,32.635921,32.636741,32.639004,32.640570
14.060600,32.661113,32.662041,32.664467,32.666057
14.075800,32.687428,32.687947,32.689232,32.689977
14.090900,32.712945,32.713657,32.714146,32.714592
14.106100,32.736887,32.737877,32.742057,32.748427
14.121200,32.756632,32.760078,32.775382,32.798955
14.136400,32.776791,32.782895,32.809293,32.848855
14.151500,32.797514,32.806428,32.843963,32.898848
14.166700,32.818992,32.830529,32.879360,32.948119
14.181800,32.841132,32.855486,32.915313,32.997122
14.197000,32.863808,32.881302,32.952261,33.045662
14.212100,32.887329,32.907992,32.989626,33.093526
14.227300,32.911428,32.935190,33.027137,33.141987
14.242400,32.936319,32.963441,33.065609,33.190055
14.257600,32.961640,32.992598,33.104980,33.239642
14.272700,32.987726,33.023045,33.144868,33.286006
14.287900,33.014889,33.054350,33.185853,33.332988
14.303000,33.042855,33.086523,33.228432,33.378818
14.318200,33.071880,33.119196,33.271561,33.425931
14.333300,33.101465,33.153397,33.312513,33.472472
14.348500,33.132076,33.187564,33.357465,33.519877
14.363600,33.163633,33.224189,33.403071,33.567642
14.378800,33.195704,33.261716,33.448954,33.613378
14.393900,33.228204,33.300122,33.496659,33.659311
14.409100,33.261551,33.338186,33.543990,33.709040
14.424200,33.296663,33.378311,33.590575,33.755148
14.439400,33.332442,33.418374,33.638497,33.800648
14.454500,33.369316,33.460133,33.688306,33.846483
14.469700,33.406711,33.503273,33.737186,33.891184
14.484800,33.445531,33.546474,33.789362,33.935932
14.500000,33.485617,33.590889,33.840976,33.983928
14.515200,33.526866,33.635337,33.892376,34.031892
14.530300,33.567878,33.680865,33.943467,34.082335
14.545500,33.610814,33.726397,33.996041,34.131886
14.560600,33.655341,33.774007,34.047697,34.181711
14.575800,33.698151,33.822315,34.101341,34.230583
14.590900,33.743732,33.871886,34.155454,34.282091
14.606100,33.790133,33.921042,34.209116,34.333133
14.621200,33.838827,33.971967,34.262069,34.385647
14.636400,33.888663,34.022368,34.313157,34.438078
14.651500,33.938634,34.072155,34.365429,34.494139
14.666700,33.987012,34.122285,34.418284,34.543398
14.681800,34.039063,34.174589,34.470780,34.593628
14.697000,34.092685,34.226849,34.523530,34.643093
14.712100,34.145539,34.278647,34.575424,34.694443
14.727300,34.196797,34.330769,34.627154,34.741512
14.742400,34.250047,34.385932,34.678927,34.791888
14.757600,34.304614,34.438675,34.728520,34.839508
14.772700,34.358266,34.490058,34.776021,34.887911
14.787900,34.413471,34.542980,34.823439,34.937855
14.803000,34.467253,34.596107,34.871577,34.985268
14.818200,34.522189,34.648229,34.918350,35.036685
14.833300,34.576566,34.701807,34.965109,35.085086
14.848500,34.630409,34.753440,35.010532,35.135099
14.863600,34.687015,34.804263,35.056975,35.183124
14.878800,34.741014,34.856250,35.101796,35.232022
14.893900,34.795813,34.906667,35.146410,35.281129
14.909100,34.849544,34.958671,35.191135,35.331007
14.924200,34.903395,35.009398,35.235908,35.379054
14.939400,34.957647,35.060613,35.279260,35.424741
14.954500,35.012667,35.111273,35.321743,35.471196
14.969700,35.065071,35.159705,35.361810,35.519679
14.984800,35.117206,35.208524,35.402987,35.566349
15.000000,35.167874,35.257819,35.444305,35.609037
15.015200,35.220262,35.306686,35.484917,35.653357
15.030300,35.271150,35.353964,35.524257,35.697306
15.045500,35.320815,35.400003,35.567493,35.738437
15.060600,35.371347,35.445541,35.607448,35.781037
15.075800,35.420974,35.488689,35.648529,35.824638
15.090900,35.468219,35.529725,35.691702,35.865577
15.106100,35.516733,35.571128,35.732244,35.907648
15.121200,35.561668,35.612403,35.772210,35.950559
15.136400,35.604608,35.652259,35.813978,35.988972
15.151500,35.648129,35.692215,35.854531,36.030391
15.166700,35.686812,35.732665,35.896233,36.071584
15.181800,35.723137,35.772682,35.938094,36.111461
15.197000,35.753830,35.812527,35.977969,36.152392
15.212100,35.779807,35.852519,36.016900,36.191217
15.227300,35.805338,35.892126,36.056444,36.229150
15.242400,35.831571,35.931094,36.095466,36.267682
15.257600,35.856767,35.970282,36.133003,36.305340
15.272700,35.880429,36.010283,36.170588,36.344521
15.287900,35.904141,36.047200,36.210178,36.380672
15.303000,35.927529,36.083737,36.250797,36.415062
15.318200,35.952052,36.118380,36.288060,36.452858
15.333300,35.974606,36.153598,36.325811,36.488280
15.348500,35.997207,36.187291,36.363949,36.525203
15.363600,36.019038,36.219547,36.400639,36.559209
15.378800,36.041005,36.250508,36.437000,36.594266
15.393900,36.061640,36.281317,36.474886,36.631007
15.409100,36.081888,36.310798,36.513526,36.668747
15.424200,36.102973,36.339645,36.550221,36.705438
15.439400,36.124063,36.370507,36.587263,36.745616
15.454500,36.144654,36.399896,36.624444,36.781883
15.469700,36.164036,36.427712,36.659637,36.816517
15.484800,36.184599,36.455837,36.696234,36.853259
15.500000,36.205451,36.483792,36.732186,36.888304
